                      0        0.5        1        
0           {0.629961, 0.573647, 0.512321},
0.0555556           {0.632863, 0.567041, 0.515788},
0.111111           {0.635739, 0.567154, 0.519252},
0.166667           {0.638586, 0.569326, 0.522711},
0.222222           {0.641405, 0.572123, 0.526166},
0.277778           {0.644195, 0.575102, 0.529616},
0.333333           {0.646956, 0.578128, 0.53306},
0.388889           {0.649688, 0.581157, 0.536497},
0.444444           {0.652389, 0.584177, 0.539926},
0.5           {0.65506, 0.587182, 0.543348},
0.555556           {0.6577, 0.590171, 0.54676},
0.611111           {0.660309, 0.593142, 0.550163},
0.666667           {0.662887, 0.596097, 0.553555},
0.722222           {0.665433, 0.599033, 0.556936},
0.777778           {0.667948, 0.601951, 0.560305},
0.833333           {0.67043, 0.60485, 0.563661},
0.888889           {0.67288, 0.60773, 0.567004},
0.944444           {0.675298, 0.610591, 0.570333},
1           {0.677684, 0.613431, 0.573647},
